code,filename,colors,patterns,uses,styles,image
I-18,I-18.jpg,grey,solid,shirt,"shirt, formal, light",images/I-18.jpg
I-19,I-19.jpg,"grey, white",solid,shirt,"shirt, formal, light",images/I-19.jpg
I-21,I-21.jpg,grey,solid,shirt,"shirt, formal, light",images/I-21.jpg
I-24,I-24.jpg,"navy, teal, black",checks,shirt,"shirt, formal, dark",images/I-24.jpg
I-25,I-25.jpg,"black, charcoal, grey",checks,shirt,"shirt, formal, light, dark",images/I-25.jpg
I-27,I-27.jpg,"grey, white",checks,shirt,"shirt, formal, light",images/I-27.jpg
I-28,I-28.jpg,"grey, white, charcoal",checks,shirt,"shirt, formal, light, dark",images/I-28.jpg
I-29,I-29.jpg,"grey, white, charcoal",checks,shirt,"shirt, formal, light, dark",images/I-29.jpg
I-30,I-30.jpg,"grey, white, charcoal",checks,shirt,"shirt, formal, light, dark",images/I-30.jpg
I-31,I-31.jpg,"grey, white",solid,shirt,"shirt, formal, light",images/I-31.jpg
I-32,I-32.jpg,"grey, white, charcoal",checks,shirt,"shirt, formal, light, dark",images/I-32.jpg
I-33,I-33.jpg,"grey, white",solid,shirt,"shirt, formal, light",images/I-33.jpg
I-34,I-34.jpg,"grey, white, charcoal",checks,shirt,"shirt, formal, light, dark",images/I-34.jpg
I-35,I-35.jpg,"grey, charcoal",stripes,shirt,"shirt, formal, light, dark",images/I-35.jpg
I-36,I-36.jpg,"grey, white",solid,shirt,"shirt, formal, light",images/I-36.jpg
I-37,I-37.jpg,"grey, white",stripes,shirt,"shirt, formal, light",images/I-37.jpg
I-38,I-38.jpg,"grey, white",stripes,shirt,"shirt, formal, light",images/I-38.jpg
I-39,I-39.jpg,"grey, beige, cream",checks,shirt,"shirt, formal, light",images/I-39.jpg
I-41,I-41.jpg,"grey, white, beige",checks,shirt,"shirt, formal, light",images/I-41.jpg
I-42,I-42.jpg,"grey, charcoal, white",checks,shirt,"shirt, formal, light, dark",images/I-42.jpg
I-51,I-51.jpg,"navy, grey, white",stripes,shirt,"shirt, formal, light, dark",images/I-51.jpg
I-52,I-52.jpg,"grey, charcoal, white",checks,shirt,"shirt, formal, light, dark",images/I-52.jpg
I-54,I-54.jpg,"blue, grey",texture,shirt,"shirt, casual, light",images/I-54.jpg
I-56,I-56.jpg,"black, navy, grey",checks,shirt,"shirt, formal, light, dark",images/I-56.jpg
I-61,I-61.jpg,grey,solid,shirt,"shirt, formal, light",images/I-61.jpg
I-65,I-65.jpg,"blue, grey",stripes,shirt,"shirt, formal, light",images/I-65.jpg
I-66,I-66.jpg,"blue, grey",checks,shirt,"shirt, formal, light",images/I-66.jpg
I-67,I-67.jpg,"grey, blue",stripes,shirt,"shirt, formal, light",images/I-67.jpg
I-68,I-68.jpg,"blue, grey",checks,shirt,"shirt, formal, light",images/I-68.jpg
I-69,I-69.jpg,"grey, blue",stripes,shirt,"shirt, formal, light",images/I-69.jpg
I-70,I-70.jpg,"grey, blue, white",stripes,shirt,"shirt, formal, light",images/I-70.jpg
I-71,I-71.jpg,"blue, grey, navy",checks,shirt,"shirt, formal, light, dark",images/I-71.jpg
I-72,I-72.jpg,"blue, grey, navy",checks,shirt,"shirt, formal, light, dark",images/I-72.jpg
I-73,I-73.jpg,"grey, charcoal",checks,shirt,"shirt, formal, light, dark",images/I-73.jpg
I-74,I-74.jpg,"grey, blue",stripes,shirt,"shirt, formal, light",images/I-74.jpg
I-75,I-75.jpg,"grey, blue",stripes,shirt,"shirt, formal, light",images/I-75.jpg
I-79,I-79.jpg,"grey, blue, navy",stripes,shirt,"shirt, formal, light, dark",images/I-79.jpg
I-82,I-82.jpg,"grey, blue",stripes,shirt,"shirt, formal, light",images/I-82.jpg
I-83,I-83.jpg,"grey, navy, blue",stripes,shirt,"shirt, formal, light, dark",images/I-83.jpg
I-84,I-84.jpg,"grey, blue",stripes,shirt,"shirt, formal, light",images/I-84.jpg
I-86,I-86.jpg,"grey, blue, navy",stripes,shirt,"shirt, formal, light, dark",images/I-86.jpg
I-87,I-87.jpg,maroon,stripes,shirt,"shirt, formal, dark",images/I-87.jpg
I-88,I-88.jpg,"navy, black",checks,shirt,"shirt, formal, dark",images/I-88.jpg
I-96,I-96.jpg,"red, grey",texture,shirt,"shirt, casual, light",images/I-96.jpg
I-101,I-101.jpg,"red, beige, grey",checks,shirt,"shirt, formal, light",images/I-101.jpg
I-102,I-102.jpg,"brown, black, charcoal",checks,shirt,"shirt, formal, dark",images/I-102.jpg
I-103,I-103.jpg,"black, maroon, brown",checks,shirt,"shirt, formal, dark",images/I-103.jpg
I-104,I-104.jpg,"grey, blue, white",checks,shirt,"shirt, formal, light",images/I-104.jpg
I-105,I-105.jpg,"grey, white, charcoal",checks,shirt,"shirt, formal, light, dark",images/I-105.jpg
I-107,I-107.jpg,"maroon, grey",stripes,shirt,"shirt, formal, light, dark",images/I-107.jpg
I-112,I-112.jpg,"purple, grey",texture,shirt,"shirt, casual, light",images/I-112.jpg
I-115,I-115.jpg,"maroon, grey",stripes,shirt,"shirt, formal, light, dark",images/I-115.jpg
I-119,I-119.jpg,grey,solid,shirt,"shirt, formal, light",images/I-119.jpg
I-127,I-127.jpg,"grey, blue",texture,shirt,"shirt, casual, light",images/I-127.jpg
I-129,I-129.jpg,"charcoal, grey, black",checks,shirt,"shirt, formal, light, dark",images/I-129.jpg
I-131,I-131.jpg,"navy, grey, blue",checks,shirt,"shirt, formal, light, dark",images/I-131.jpg
I-133,I-133.jpg,grey,stripes,shirt,"shirt, formal, light",images/I-133.jpg
I-135,I-135.jpg,grey,solid,shirt,"shirt, formal, light",images/I-135.jpg
I-138,I-138.jpg,grey,solid,shirt,"shirt, formal, light",images/I-138.jpg
I-144,I-144.jpg,grey,solid,shirt,"shirt, formal, light",images/I-144.jpg
I-145,I-145.jpg,"grey, blue",stripes,shirt,"shirt, formal, light",images/I-145.jpg
I-147,I-147.jpg,grey,stripes,shirt,"shirt, formal, light",images/I-147.jpg
I-153,I-153.jpg,"grey, blue",stripes,shirt,"shirt, formal, light",images/I-153.jpg
I-155,I-155.jpg,"blue, grey",checks,shirt,"shirt, formal, light",images/I-155.jpg
I-156,I-156.jpg,"grey, blue, navy",checks,shirt,"shirt, formal, light, dark",images/I-156.jpg
I-157,I-157.jpg,"grey, blue, white",checks,shirt,"shirt, formal, light",images/I-157.jpg
I-158,I-158.jpg,"grey, blue, beige",checks,shirt,"shirt, formal, light",images/I-158.jpg
I-159,I-159.jpg,grey,texture,shirt,"shirt, casual, light",images/I-159.jpg
I-160,I-160.jpg,grey,solid,shirt,"shirt, formal, light",images/I-160.jpg
I-162,I-162.jpg,grey,solid,shirt,"shirt, formal, light",images/I-162.jpg
I-164,I-164.jpg,grey,solid,shirt,"shirt, formal, light",images/I-164.jpg
I-165,I-165.jpg,grey,solid,shirt,"shirt, formal, light",images/I-165.jpg
I-168,I-168.jpg,"blue, grey, purple",checks,shirt,"shirt, formal, light",images/I-168.jpg
I-169,I-169.jpg,"blue, teal",checks,shirt,"shirt, formal",images/I-169.jpg
I-175,I-175.jpg,"grey, white",stripes,shirt,"shirt, formal, light",images/I-175.jpg
I-176,I-176.jpg,"grey, white",solid,shirt,"shirt, formal, light",images/I-176.jpg
I-177,I-177.jpg,"grey, white",checks,shirt,"shirt, formal, light",images/I-177.jpg
I-178,I-178.jpg,"grey, white",checks,shirt,"shirt, formal, light",images/I-178.jpg
I-180,I-180.jpg,grey,solid,shirt,"shirt, formal, light",images/I-180.jpg
I-182,I-182.jpg,"grey, charcoal, white",checks,shirt,"shirt, formal, light, dark",images/I-182.jpg
I-183,I-183.jpg,"navy, black, blue",checks,shirt,"shirt, formal, dark",images/I-183.jpg
I-184,I-184.jpg,"grey, white, teal",checks,shirt,"shirt, formal, light",images/I-184.jpg
I-185,I-185.jpg,"grey, teal",stripes,shirt,"shirt, formal, light",images/I-185.jpg
I-186,I-186.jpg,"grey, charcoal",checks,shirt,"shirt, formal, light, dark",images/I-186.jpg
I-194,I-194.jpg,grey,solid,shirt,"shirt, formal, light",images/I-194.jpg
I-196,I-196.jpg,grey,solid,shirt,"shirt, formal, light",images/I-196.jpg
I-198,I-198.jpg,"blue, grey",checks,shirt,"shirt, formal, light",images/I-198.jpg
I-203,I-203.jpg,"grey, blue",stripes,shirt,"shirt, formal, light",images/I-203.jpg
I-207,I-207.jpg,grey,solid,shirt,"shirt, formal, light",images/I-207.jpg
I-210,I-210.jpg,"blue, grey",texture,shirt,"shirt, casual, light",images/I-210.jpg
I-211,I-211.jpg,grey,solid,shirt,"shirt, formal, light",images/I-211.jpg
I-212,I-212.jpg,grey,solid,shirt,"shirt, formal, light",images/I-212.jpg
I-214,I-214.jpg,"charcoal, grey",texture,shirt,"shirt, casual, light, dark",images/I-214.jpg
I-215,I-215.jpg,"red, grey",solid,shirt,"shirt, formal, light",images/I-215.jpg
I-217,I-217.jpg,grey,solid,shirt,"shirt, formal, light",images/I-217.jpg
I-219,I-219.jpg,grey,solid,shirt,"shirt, formal, light",images/I-219.jpg
I-220,I-220.jpg,grey,solid,shirt,"shirt, formal, light",images/I-220.jpg
I-222,I-222.jpg,grey,solid,shirt,"shirt, formal, light",images/I-222.jpg
I-223,I-223.jpg,"blue, grey",solid,shirt,"shirt, formal, light",images/I-223.jpg
I-224,I-224.jpg,"teal, grey",solid,shirt,"shirt, formal, light",images/I-224.jpg
I-225,I-225.jpg,"grey, teal",solid,shirt,"shirt, formal, light",images/I-225.jpg
I-227,I-227.jpg,grey,solid,shirt,"shirt, formal, light",images/I-227.jpg
I-232,I-232.jpg,grey,solid,shirt,"shirt, formal, light",images/I-232.jpg
I-234,I-234.jpg,"blue, grey",solid,shirt,"shirt, formal, light",images/I-234.jpg
I-235,I-235.jpg,"blue, grey",solid,shirt,"shirt, formal, light",images/I-235.jpg
I-236,I-236.jpg,"grey, blue",stripes,shirt,"shirt, formal, light",images/I-236.jpg
I-237,I-237.jpg,"blue, grey, navy",solid,shirt,"shirt, formal, light, dark",images/I-237.jpg
I-239,I-239.jpg,"charcoal, grey",texture,shirt,"shirt, casual, light, dark",images/I-239.jpg
I-241,I-241.jpg,"grey, charcoal",solid,shirt,"shirt, formal, light, dark",images/I-241.jpg
I-242,I-242.jpg,"navy, grey, charcoal",texture,shirt,"shirt, casual, light, dark",images/I-242.jpg
I-247,I-247.jpg,"grey, charcoal",solid,shirt,"shirt, formal, light, dark",images/I-247.jpg
